"PlayerInGameID","PRID","PlayerID","ChampionID","ClubID","GameID","PlayerInGamePositionInGame","ChampionInGameSpecID","ChampionItemID","PlayerInGameID"
261,492,37,20,53,26,Mid Laner,,,
530,555,195,79,32,63,Jungler,,,
868,133,330,69,4,84,Mid Laner,,,
914,738,247,41,13,89,Top Laner,,,
536,612,39,88,39,66,Support,,,
685,916,65,7,26,79,Jungler,,,
788,402,43,27,20,57,Jungler,,,
462,704,33,44,5,69,Mid Laner,,,
316,909,162,52,64,31,Support,,,
829,53,34,82,18,43,Support,,,
242,910,82,48,49,24,Mid Laner,,,
454,111,327,76,23,46,Support,,,
663,19,118,82,16,42,Support,,,
866,1,291,89,4,84,Bot Laner,,,
33,974,73,86,7,4,Mid Laner,,,
580,718,5,83,6,70,Support,,,
743,313,66,20,40,54,Top Laner,,,
480,879,159,21,23,78,Bot Laner,,,
185,215,288,70,37,18,Top Laner,,,
417,685,83,36,84,41,Mid Laner,,,
257,374,57,45,52,25,Support,,,
363,953,63,45,73,36,Jungler,,,
509,689,179,12,3,68,Bot Laner,,,
111,378,281,88,23,11,Support,,,
446,583,241,53,35,64,Bot Laner,,,
887,916,259,19,8,86,Mid Laner,,,
755,832,172,23,17,75,Support,,,
635,950,226,49,29,81,Top Laner,,,
194,730,202,77,39,19,Support,,,
681,774,10,41,12,72,Mid Laner,,,
452,123,50,5,23,46,Jungler,,,
43,674,306,28,9,5,Bot Laner,1,55,43
609,986,65,24,32,82,Support,2,40,609
798,408,283,17,21,57,Top Laner,3,60,798
276,332,167,72,56,27,Mid Laner,4,59,276
132,892,128,21,27,13,Top Laner,5,84,132
2,289,320,36,1,1,Jungler,6,91,2
459,267,317,26,35,51,Support,7,27,459
457,890,246,26,23,78,Jungler,8,56,457
739,829,102,68,17,75,Jungler,9,82,739
826,779,162,75,12,73,Jungler,10,56,826
146,739,112,60,30,15,Top Laner,11,91,146
157,222,287,15,32,16,Bot Laner,12,79,157
595,983,102,29,31,82,Support,13,107,595
348,501,248,88,70,34,Top Laner,14,36,348
171,287,237,14,35,17,Bot Laner,15,106,171
172,485,285,19,35,17,Jungler,16,96,172
486,780,228,45,12,73,Jungler,17,16,486
579,1,316,27,15,42,Mid Laner,18,34,579
87,211,302,31,18,9,Support,19,70,87
219,603,57,15,44,22,Support,20,52,219
660,575,36,5,34,64,Bot Laner,21,7,660
270,853,339,72,54,27,Jungler,22,61,270
626,135,340,42,24,46,Bot Laner,23,59,626
758,761,297,61,11,72,Jungler,24,80,758
699,285,258,4,37,53,Bot Laner,25,21,699
818,334,157,28,16,55,Mid Laner,26,24,818
675,837,1,35,18,75,Bot Laner,27,87,675
853,2,115,6,1,83,Mid Laner,28,49,853
269,957,134,10,54,27,Bot Laner,29,19,269
615,736,119,81,8,71,Top Laner,31,39,615
47,946,56,12,10,5,Mid Laner,32,50,47
825,931,105,68,28,80,Top Laner,33,87,825
852,524,275,42,1,83,Jungler,34,101,852
40,221,320,87,8,4,Top Laner,35,41,40
727,100,63,54,23,46,Top Laner,36,26,727
190,593,94,77,38,19,Top Laner,37,77,190
553,665,117,5,2,67,Bot Laner,38,77,553
826,779,162,75,12,73,Jungler,39,51,826
186,639,181,72,38,19,Bot Laner,40,74,186
409,900,231,77,82,40,Top Laner,41,11,409
889,555,331,49,8,87,Support,42,29,889
860,273,113,3,2,84,Top Laner,44,100,860
66,729,233,30,14,7,Jungler,45,68,66
847,903,314,51,25,79,Mid Laner,46,9,847
119,527,213,4,24,12,Jungler,47,48,119
136,286,278,47,28,14,Support,48,95,136
53,218,260,25,11,6,Support,49,74,53
332,412,14,33,67,33,Bot Laner,50,89,332
695,492,313,31,27,60,Jungler,51,80,695
670,590,271,25,37,65,Bot Laner,52,41,670
916,574,292,78,14,89,Jungler,53,31,916
195,408,262,26,39,19,Top Laner,54,88,195
760,42,230,25,17,43,Support,55,76,760
646,899,168,47,24,78,Jungler,56,97,646
149,711,283,6,30,15,Mid Laner,57,106,149
664,441,193,90,23,58,Top Laner,58,2,664
432,662,321,92,2,67,Jungler,59,104,432
223,200,263,39,45,22,Support,60,18,223
507,878,251,34,23,78,Support,61,73,507
748,792,72,60,13,73,Bot Laner,62,33,748
625,648,91,24,40,67,Support,63,34,625
105,901,92,90,21,10,Jungler,64,107,105
700,498,272,64,28,61,Jungler,65,64,700
258,198,137,60,52,25,Top Laner,66,58,258
591,531,338,80,30,62,Top Laner,67,59,591
658,915,77,55,26,79,Support,68,38,658
781,221,197,10,32,50,Top Laner,69,109,781
170,173,133,29,34,17,Support,70,68,170
696,759,289,29,10,72,Mid Laner,71,106,696
383,452,121,83,77,38,Mid Laner,73,11,383
379,212,220,24,76,37,Support,74,93,379
716,377,96,15,19,56,Support,75,15,716
162,356,319,39,33,16,Bot Laner,76,15,162
899,882,96,77,10,87,Top Laner,78,50,899
130,500,46,56,26,13,Mid Laner,79,12,130
774,414,178,19,21,58,Mid Laner,80,21,774
741,268,7,9,35,52,Support,81,67,741
894,512,51,88,9,87,Support,83,10,894
604,520,281,5,30,62,Mid Laner,84,69,604
720,790,107,34,13,73,Mid Laner,85,49,720
346,984,70,91,70,34,Bot Laner,86,90,346
733,880,253,61,23,78,Bot Laner,87,59,733
754,283,189,61,37,52,Mid Laner,88,52,754
108,502,88,92,22,11,Top Laner,89,9,108
420,604,4,44,84,41,Bot Laner,90,71,420
228,1,333,62,46,23,Top Laner,91,105,228
396,554,238,38,80,39,Bot Laner,92,76,396
