"","id","age","contact_type","city_tier","occupation","gender","no_of_visitors","no_followups","pref_prop_star","marital_stat","passport","satisfaction_score","own_car","no_child_visitors","income","no_of_trips"
"id",1,0.0321271461358768,0.00692060963323977,0.0129749161454285,-0.00250321573653421,-0.000652546235823008,0.604012833938719,0.427538602604822,0.010553318218784,0.278087060545967,-0.00797389303370058,-0.0358474940641599,-0.00380486192159732,0.511763053313827,0.276833141316024,0.224847691468388
"age",0.0321271461358768,1,-0.0260681073858582,-0.015624690011528,-0.0108731773504376,-0.0392982799463871,0.0116210061151524,-0.00257696119293896,-0.0104740404925528,0.0368186785984417,-0.0333988701353318,0.0185098971299354,-0.0486540584722897,0.00737048535882757,0.464868642443832,0.184904709423511
"contact_type",0.00692060963323977,-0.0260681073858582,1,0.00962934468598586,-0.0359695747131214,-0.000459038016580622,0.000894140090741199,0.0147072756794017,-0.033149824099482,0.00795338191192607,0.0029165238247661,0.0175720157801187,0.00339134373342656,0.00407508903946143,-0.0272559588302294,-0.0118206274656496
"city_tier",0.0129749161454285,-0.015624690011528,0.00962934468598586,1,0.120495223443764,-0.021753565097477,-0.00167091951653961,0.0236516251573228,-0.00916395300262063,0.0468382783947552,-0.00179338953615349,-0.0421595077217475,-0.00381667875150344,0.000672101201489551,0.0518169169857729,-0.0297094601073231
"occupation",-0.00250321573653421,-0.0108731773504376,-0.0359695747131214,0.120495223443764,1,-0.0113286021318981,-0.00972891825053403,0.0022500497886703,0.0334903519332867,-0.00966281981809696,-0.00245785574620681,-0.0117350148730087,0.0196880435167873,0.00409579120884833,-0.0155926823022306,0.0159841921540755
"gender",-0.000652546235823008,-0.0392982799463871,-0.000459038016580622,-0.021753565097477,-0.0113286021318981,1,-0.00874215838310242,-0.00419407427475059,-0.0237352338377011,0.00430269692302883,0.0370135498356968,0.00186664672176881,0.0161363027298857,0.0211160042357088,-0.0348604043235372,-0.00254890118395827
"no_of_visitors",0.604012833938719,0.0116210061151524,0.000894140090741199,-0.00167091951653961,-0.00972891825053403,-0.00874215838310242,1,0.32856906519415,0.0338665843057174,0.158276457256885,-0.0111769896751714,-0.0195805796984107,-0.0103620456039477,0.610621340505663,0.19513384072224,0.19522328162458
"no_followups",0.427538602604822,-0.00257696119293896,0.0147072756794017,0.0236516251573228,0.0022500497886703,-0.00419407427475059,0.32856906519415,1,-0.0241763240577918,0.0926094798373807,-0.00496963989165169,0.00405429255700651,-0.0121118596339595,0.286424792903455,0.176502743425634,0.139516622485771
"pref_prop_star",0.010553318218784,-0.0104740404925528,-0.033149824099482,-0.00916395300262063,0.0334903519332867,-0.0237352338377011,0.0338665843057174,-0.0241763240577918,1,0.00916289278919846,-0.00104027255903913,-0.0227005822578659,-0.0157424267976774,0.0357979808150971,0.0142890064353614,0.0121147486463908
"marital_stat",0.278087060545967,0.0368186785984417,0.00795338191192607,0.0468382783947552,-0.00966281981809696,0.00430269692302883,0.158276457256885,0.0926094798373807,0.00916289278919846,1,0.0195147255806884,-0.0266847208603334,-0.00738904463314678,0.129196969367406,0.0823424444344092,0.0715308795023966
"passport",-0.00797389303370058,-0.0333988701353318,0.0029165238247661,-0.00179338953615349,-0.00245785574620681,0.0370135498356968,-0.0111769896751714,-0.00496963989165169,-0.00104027255903913,0.0195147255806884,1,-0.00292559283788032,-0.0223300481703985,-0.0202641117120556,-0.00254471934941329,-0.0129486433079553
"satisfaction_score",-0.0358474940641599,0.0185098971299354,0.0175720157801187,-0.0421595077217475,-0.0117350148730087,0.00186664672176881,-0.0195805796984107,0.00405429255700651,-0.0227005822578659,-0.0266847208603334,-0.00292559283788032,1,-0.0688499540725171,0.000877525029037158,0.0304211123355867,-0.00437848550830187
"own_car",-0.00380486192159732,-0.0486540584722897,0.00339134373342656,-0.00381667875150344,0.0196880435167873,0.0161363027298857,-0.0103620456039477,-0.0121118596339595,-0.0157424267976774,-0.00738904463314678,-0.0223300481703985,-0.0688499540725171,1,-0.026571567966015,-0.0802621683416108,0.0118246863719227
"no_child_visitors",0.511763053313827,0.00737048535882757,0.00407508903946143,0.000672101201489551,0.00409579120884833,0.0211160042357088,0.610621340505663,0.286424792903455,0.0357979808150971,0.129196969367406,-0.0202641117120556,0.000877525029037158,-0.026571567966015,1,0.20164324131932,0.168795272914241
"income",0.276833141316024,0.464868642443832,-0.0272559588302294,0.0518169169857729,-0.0155926823022306,-0.0348604043235372,0.19513384072224,0.176502743425634,0.0142890064353614,0.0823424444344092,-0.00254471934941329,0.0304211123355867,-0.0802621683416108,0.20164324131932,1,0.139104787808742
"no_of_trips",0.224847691468388,0.184904709423511,-0.0118206274656496,-0.0297094601073231,0.0159841921540755,-0.00254890118395827,0.19522328162458,0.139516622485771,0.0121147486463908,0.0715308795023966,-0.0129486433079553,-0.00437848550830187,0.0118246863719227,0.168795272914241,0.139104787808742,1
