,age,contact_type,city_tier,occupation,gender,no_of_visitors,no_followups,pref_prop_star,marital_stat,passport,satisfaction_score,own_car,no_child_visitors,income,no_of_trips
age,1.0000,-0.0261,-0.0156,-0.0109,-0.0393,0.0116,-0.0026,-0.0105,0.0368,-0.0334,0.0185,-0.0487,0.0074,0.4649,0.1849
contact_type,-0.0261,1.0000,0.0096,-0.0360,-0.0005,0.0009,0.0147,-0.0331,0.0080,0.0029,0.0176,0.0034,0.0041,-0.0273,-0.0118
city_tier,-0.0156,0.0096,1.0000,0.1205,-0.0218,-0.0017,0.0237,-0.0092,0.0468,-0.0018,-0.0422,-0.0038,0.0007,0.0518,-0.0297
occupation,-0.0109,-0.0360,0.1205,1.0000,-0.0113,-0.0097,0.0023,0.0335,-0.0097,-0.0025,-0.0117,0.0197,0.0041,-0.0156,0.0160
gender,-0.0393,-0.0005,-0.0218,-0.0113,1.0000,-0.0087,-0.0042,-0.0237,0.0043,0.0370,0.0019,0.0161,0.0211,-0.0349,-0.0025
no_of_visitors,0.0116,0.0009,-0.0017,-0.0097,-0.0087,1.0000,0.3286,0.0339,0.1583,-0.0112,-0.0196,-0.0104,0.6106,0.1951,0.1952
no_followups,-0.0026,0.0147,0.0237,0.0023,-0.0042,0.3286,1.0000,-0.0242,0.0926,-0.0050,0.0041,-0.0121,0.2864,0.1765,0.1395
pref_prop_star,-0.0105,-0.0331,-0.0092,0.0335,-0.0237,0.0339,-0.0242,1.0000,0.0092,-0.0010,-0.0227,-0.0157,0.0358,0.0143,0.0121
marital_stat,0.0368,0.0080,0.0468,-0.0097,0.0043,0.1583,0.0926,0.0092,1.0000,0.0195,-0.0267,-0.0074,0.1292,0.0823,0.0715
passport,-0.0334,0.0029,-0.0018,-0.0025,0.0370,-0.0112,-0.0050,-0.0010,0.0195,1.0000,-0.0029,-0.0223,-0.0203,-0.0025,-0.0129
satisfaction_score,0.0185,0.0176,-0.0422,-0.0117,0.0019,-0.0196,0.0041,-0.0227,-0.0267,-0.0029,1.0000,-0.0688,0.0009,0.0304,-0.0044
own_car,-0.0487,0.0034,-0.0038,0.0197,0.0161,-0.0104,-0.0121,-0.0157,-0.0074,-0.0223,-0.0688,1.0000,-0.0266,-0.0803,0.0118
no_child_visitors,0.0074,0.0041,0.0007,0.0041,0.0211,0.6106,0.2864,0.0358,0.1292,-0.0203,0.0009,-0.0266,1.0000,0.2016,0.1688
income,0.4649,-0.0273,0.0518,-0.0156,-0.0349,0.1951,0.1765,0.0143,0.0823,-0.0025,0.0304,-0.0803,0.2016,1.0000,0.1391
no_of_trips,0.1849,-0.0118,-0.0297,0.0160,-0.0025,0.1952,0.1395,0.0121,0.0715,-0.0129,-0.0044,0.0118,0.1688,0.1391,1.0000
